Nedzhmi ALI,BG,Bulgarie,ALDE,pro
Jean ARTHUIS,FR,France,ALDE,pro
Izaskun BILBAO BARANDICA,ES,Espagne,ALDE,pro
Enrique CALVET CHAMBON,ES,Espagne,ALDE,pro
Jean-Marie CAVADA,FR,France,ALDE,pro
Thierry CORNILLET,FR,France,ALDE,pro
Gérard DEPREZ,BE,Belgique,ALDE,pro
Mircea DIACONU,RO,Roumanie,ALDE,pro
María Teresa GIMÉNEZ BARBAT,ES,Espagne,ALDE,pro
Iveta GRIGULE-PĒTERSE,LV,Lettonie,ALDE,pro
Marian HARKIN,IE,Irlande,ALDE,pro
Filiz HYUSMENOVA,BG,Bulgarie,ALDE,pro
Anneli JÄÄTTEENMÄKI,FI,Finlande,ALDE,pro
Ivan JAKOVČIĆ,HR,Croatie,ALDE,pro
Elsi KATAINEN,FI,Finlande,ALDE,pro
Patricia LALONDE,FR,France,ALDE,pro
Morten LØKKEGAARD,DK,Danemark,ALDE,pro
António MARINHO E PINTO,PT,Portugal,ALDE,pro
Valentinas MAZURONIS,LT,Lituanie,ALDE,pro
Louis MICHEL,BE,Belgique,ALDE,pro
Iskra MIHAYLOVA,BG,Bulgarie,ALDE,pro
Javier NART,ES,Espagne,ALDE,pro
Maite PAGAZAURTUNDÚA RUIZ,ES,Espagne,ALDE,pro
Morten Helveg PETERSEN,DK,Danemark,ALDE,pro
Carolina PUNSET,ES,Espagne,ALDE,pro
Frédérique RIES,BE,Belgique,ALDE,pro
Dominique RIQUET,FR,France,ALDE,pro
Robert ROCHEFORT,FR,France,ALDE,pro
Jens ROHDE,DK,Danemark,ALDE,pro
Ramon TREMOSA i BALCELLS,ES,Espagne,ALDE,pro
Viktor USPASKICH,LT,Lituanie,ALDE,pro
Ivo VAJGL,SI,Slovénie,ALDE,pro
Hilde VAUTMANS,BE,Belgique,ALDE,pro
Mirja VEHKAPERÄ,FI,Finlande,ALDE,pro
Guy VERHOFSTADT,BE,Belgique,ALDE,pro
Lieve WIERINCK,BE,Belgique,ALDE,pro
Amjad BASHIR,GB,Royaume-Uni,ECR,pro
David CAMPBELL BANNERMAN,GB,Royaume-Uni,ECR,pro
Nirj DEVA,GB,Royaume-Uni,ECR,pro
Raffaele FITTO,IT,Italie,ECR,pro
Jacqueline FOSTER,GB,Royaume-Uni,ECR,pro
Ashley FOX,GB,Royaume-Uni,ECR,pro
Hans-Olaf HENKEL,DE,Allemagne,ECR,pro
Sajjad KARIM,GB,Royaume-Uni,ECR,pro
Bernd KÖLMEL,DE,Allemagne,ECR,pro
Innocenzo LEONTINI,IT,Italie,ECR,pro
Emma McCLARKIN,GB,Royaume-Uni,ECR,pro
Anthea McINTYRE,GB,Royaume-Uni,ECR,pro
Rupert MATTHEWS,GB,Royaume-Uni,ECR,pro
Stefano MAULLU,IT,Italie,ECR,pro
Morten MESSERSCHMIDT,DK,Danemark,ECR,pro
Baroness Nosheena MOBARIK,GB,Royaume-Uni,ECR,pro
James NICHOLSON,GB,Royaume-Uni,ECR,pro
Remo SERNAGIOTTO,IT,Italie,ECR,pro
Kay SWINBURNE,GB,Royaume-Uni,ECR,pro
Charles TANNOCK,GB,Royaume-Uni,ECR,pro
Geoffrey VAN ORDEN,GB,Royaume-Uni,ECR,pro
Anders Primdahl VISTISEN,DK,Danemark,ECR,pro
Roberts ZĪLE,LV,Lettonie,ECR,pro
Joëlle BERGERON,FR,France,EFDD,pro
Aymeric CHAUPRADE,FR,France,EFDD,pro
Mireille D'ORNANO,FR,France,EFDD,pro
Sylvie GODDYN,FR,France,EFDD,pro
Bernard MONOT,FR,France,EFDD,pro
Rolandas PAKSAS,LT,Lituanie,EFDD,pro
Marie-Christine ARNAUTU,FR,France,ENF,pro
Nicolas BAY,FR,France,ENF,pro
Dominique BILDE,FR,France,ENF,pro
Marie-Christine BOUTONNET,FR,France,ENF,pro
Steeve BRIOIS,FR,France,ENF,pro
Jacques COLOMBIER,FR,France,ENF,pro
Jean-François JALKH,FR,France,ENF,pro
France JAMET,FR,France,ENF,pro
Gilles LEBRETON,FR,France,ENF,pro
Christelle LECHEVALIER,FR,France,ENF,pro
Philippe LOISEAU,FR,France,ENF,pro
Dominique MARTIN,FR,France,ENF,pro
Joëlle MÉLIN,FR,France,ENF,pro
Jean-Luc SCHAFFHAUSER,FR,France,ENF,pro
Mylène TROSZCZYNSKI,FR,France,ENF,pro
Kostas CHRYSOGONOS,GR,Grèce,GUE/NGL,pro
Merja KYLLÖNEN,FI,Finlande,GUE/NGL,pro
Patrick LE HYARIC,FR,France,GUE/NGL,pro
Emmanuel MAUREL,FR,France,GUE/NGL,pro
Marie-Pierre VIEU,FR,France,GUE/NGL,pro
Georgios EPITIDEIOS,GR,Grèce,NI,pro
Lampros FOUNTOULIS,GR,Grèce,NI,pro
Bruno GOLLNISCH,FR,France,NI,pro
Rikke-Louise KARLSSON,DK,Danemark,NI,pro
Sophie MONTEL,FR,France,NI,pro
Eleftherios SYNADINOS,GR,Grèce,NI,pro
Kazimierz Michał UJAZDOWSKI,PL,Pologne,NI,pro
Asim ADEMOV,BG,Bulgarie,PPE,pro
Michèle ALLIOT-MARIE,FR,France,PPE,pro
Laima Liucija ANDRIKIENĖ,LT,Lituanie,PPE,pro
Richard ASHWORTH,GB,Royaume-Uni,PPE,pro
Pilar AYUSO,ES,Espagne,PPE,pro
Heinz K. BECKER,AT,Autriche,PPE,pro
Ivo BELET,BE,Belgique,PPE,pro
Bendt BENDTSEN,DK,Danemark,PPE,pro
Andrea BOCSKOR,HU,Hongrie,PPE,pro
Reimer BÖGE,DE,Allemagne,PPE,pro
Franc BOGOVIČ,SI,Slovénie,PPE,pro
Elmar BROK,DE,Allemagne,PPE,pro
Alain CADEC,FR,France,PPE,pro
Wim van de CAMP,NL,Pays-Bas,PPE,pro
Daniel CASPARY,DE,Allemagne,PPE,pro
Pilar del CASTILLO VERA,ES,Espagne,PPE,pro
Lorenzo CESA,IT,Italie,PPE,pro
Salvatore CICU,IT,Italie,PPE,pro
Alberto CIRIO,IT,Italie,PPE,pro
Carlos COELHO,PT,Portugal,PPE,pro
Birgit COLLIN-LANGEN,DE,Allemagne,PPE,pro
Lara COMI,IT,Italie,PPE,pro
Pál CSÁKY,SK,Slovaquie,PPE,pro
Arnaud DANJEAN,FR,France,PPE,pro
Michel DANTIN,FR,France,PPE,pro
Rachida DATI,FR,France,PPE,pro
Angélique DELAHAYE,FR,France,PPE,pro
Andor DELI,HU,Hongrie,PPE,pro
Albert DESS,DE,Allemagne,PPE,pro
Tamás DEUTSCH,HU,Hongrie,PPE,pro
Agustín DÍAZ DE MERA GARCÍA CONSUEGRA,ES,Espagne,PPE,pro
Geoffroy DIDIER,FR,France,PPE,pro
Herbert DORFMANN,IT,Italie,PPE,pro
Christian EHLER,DE,Allemagne,PPE,pro
Norbert ERDŐS,HU,Hongrie,PPE,pro
Rosa ESTARÀS FERRAGUT,ES,Espagne,PPE,pro
José Inácio FARIA,PT,Portugal,PPE,pro
Markus FERBER,DE,Allemagne,PPE,pro
José Manuel FERNANDES,PT,Portugal,PPE,pro
Santiago FISAS AYXELÀ,ES,Espagne,PPE,pro
