Catherine BEARDER,GB,Royaume-Uni,ALDE,pro
Beatriz BECERRA BASTERRECHEA,ES,Espagne,ALDE,pro
Fredrick FEDERLEY,SE,Suède,ALDE,pro
Gerben-Jan GERBRANDY,NL,Pays-Bas,ALDE,pro
Charles GOERENS,LU,Luxembourg,ALDE,pro
Igor GRÄZIN,EE,Estonie,ALDE,pro
Nadja HIRSCH,DE,Allemagne,ALDE,pro
Jan HUITEMA,NL,Pays-Bas,ALDE,pro
Sophia in 't VELD,NL,Pays-Bas,ALDE,pro
Ivan JAKOVČIĆ,HR,Croatie,ALDE,pro
Petr JEŽEK,CZ,Tchéquie,ALDE,pro
Ilhan KYUCHYUK,BG,Bulgarie,ALDE,pro
Gesine MEISSNER,DE,Allemagne,ALDE,pro
Matthijs van MILTENBURG,NL,Pays-Bas,ALDE,pro
Angelika MLINAR,AT,Autriche,ALDE,pro
Ulrike MÜLLER,DE,Allemagne,ALDE,pro
Caroline NAGTEGAAL,NL,Pays-Bas,ALDE,pro
Jozo RADOŠ,HR,Croatie,ALDE,pro
Marietje SCHAAKE,NL,Pays-Bas,ALDE,pro
Jasenko SELIMOVIC,SE,Suède,ALDE,pro
Pavel TELIČKA,CZ,Tchéquie,ALDE,pro
Yana TOOM,EE,Estonie,ALDE,pro
Nils TORVALDS,FI,Finlande,ALDE,pro
Ramon TREMOSA i BALCELLS,ES,Espagne,ALDE,pro
Renate WEBER,RO,Roumanie,ALDE,pro
Cecilia WIKSTRÖM,SE,Suède,ALDE,pro
Nikolay BAREKOV,BG,Bulgarie,ECR,pro
Bas BELDER,NL,Pays-Bas,ECR,pro
David CAMPBELL BANNERMAN,GB,Royaume-Uni,ECR,pro
Ryszard CZARNECKI,PL,Pologne,ECR,pro
Edward CZESAK,PL,Pologne,ECR,pro
Peter van DALEN,NL,Pays-Bas,ECR,pro
Daniel DALTON,GB,Royaume-Uni,ECR,pro
Mark DEMESMAEKER,BE,Belgique,ECR,pro
Nirj DEVA,GB,Royaume-Uni,ECR,pro
Angel DZHAMBAZKI,BG,Bulgarie,ECR,pro
John FLACK,GB,Royaume-Uni,ECR,pro
Anna Elżbieta FOTYGA,PL,Pologne,ECR,pro
Beata GOSIEWSKA,PL,Pologne,ECR,pro
Jussi HALLA-AHO,FI,Finlande,ECR,pro
Daniel HANNAN,GB,Royaume-Uni,ECR,pro
Czesław HOC,PL,Pologne,ECR,pro
Marek JUREK,PL,Pologne,ECR,pro
Karol KARSKI,PL,Pologne,ECR,pro
Sławomir KŁOSOWSKI,PL,Pologne,ECR,pro
Zdzisław KRASNODĘBSKI,PL,Pologne,ECR,pro
Urszula KRUPA,PL,Pologne,ECR,pro
Zbigniew KUŹMIUK,PL,Pologne,ECR,pro
Ryszard Antoni LEGUTKO,PL,Pologne,ECR,pro
Bernd LUCKE,DE,Allemagne,ECR,pro
Monica MACOVEI,RO,Roumanie,ECR,pro
Stanisław OŻÓG,PL,Pologne,ECR,pro
Ralph PACKET,BE,Belgique,ECR,pro
Bolesław G. PIECHA,PL,Pologne,ECR,pro
Mirosław PIOTROWSKI,PL,Pologne,ECR,pro
Tomasz Piotr PORĘBA,PL,Pologne,ECR,pro
Pirkko RUOHONEN-LERNER,FI,Finlande,ECR,pro
Branislav ŠKRIPEK,SK,Slovaquie,ECR,pro
Joachim STARBATTY,DE,Allemagne,ECR,pro
Helga STEVENS,BE,Belgique,ECR,pro
Richard SULÍK,SK,Slovaquie,ECR,pro
Ruža TOMAŠIĆ,HR,Croatie,ECR,pro
